State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"SC","New-Indy Catawba, LLC","2440","001","Unit ID change from 2550 to 001",
"SC","International Paper-Eastover Mill","52151","001","Unit ID change from 1 to 001",
"VT","Berlin 5","3734","A","Unit ID change from BERLIN to A",
"DC","GSA Central Heating","880004","6","Unit ID change from 000006 to 6",
"DC","GSA Central Heating","880004","5","Unit ID change from 000005 to 5",
"DC","GSA Central Heating","880004","1","Unit ID change from 000001 to 1",
"DC","GSA Central Heating","880004","2","Unit ID change from 000002 to 2",
"DC","GSA Central Heating","880004","4","Unit ID change from 000004 to 4",
"DC","GSA Central Heating","880004","3","Unit ID change from 000003 to 3",
"LA","Brame Energy Center","6190","3-1","Unit ID change from 3 to 3-1",
"NC","Butler-Warner Generation Plant","1016","GT-6","Unit ID change from 8 to GT-6",
"NC","Butler-Warner Generation Plant","1016","GT-6","Unit ID change from GT6 to GT-6",
"NC","Butler-Warner Generation Plant","1016","GT-7","Unit ID change from 9 to GT-7",
"NC","Butler-Warner Generation Plant","1016","GT-7","Unit ID change from GT7 to GT-7",
"NC","Butler-Warner Generation Plant","1016","GT-8","Unit ID change from GT8 to GT-8",
"NC","Butler-Warner Generation Plant","1016","GT-1","Unit ID change from 1 to GT-1",
"NC","Butler-Warner Generation Plant","1016","GT-1","Unit ID change from GT1 to GT-1",
"NC","Butler-Warner Generation Plant","1016","GT-1","Unit ID change from GT11 to GT-1",
"NC","Butler-Warner Generation Plant","1016","GT-2","Unit ID change from 2 to GT-2",
"NC","Butler-Warner Generation Plant","1016","GT-2","Unit ID change from GT2 to GT-2",
"NC","Butler-Warner Generation Plant","1016","GT-3","Unit ID change from 3 to GT-3",
"NC","Butler-Warner Generation Plant","1016","GT-3","Unit ID change from GT3 to GT-3",
"NC","Butler-Warner Generation Plant","1016","GT-4","Unit ID change from 6 to GT-4",
"NC","Butler-Warner Generation Plant","1016","GT-4","Unit ID change from GT4 to GT-4",
"NC","Butler-Warner Generation Plant","1016","GT-5","Unit ID change from 7 to GT-5",
"NC","Butler-Warner Generation Plant","1016","GT-5","Unit ID change from GT5 to GT-5",
"IN","Portside Energy","55096","CT","Unit ID change from CT-1 to CT",
"IN","Portside Energy","55096","BLR1","Unit ID change from B-1 to BLR1",
"IN","Portside Energy","55096","BLR2","Unit ID change from B-2 to BLR2",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-2","Unit ID change from CTGZ2 to CTG-2",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-1","Unit ID change from 0CTGZ1 to CTG-1",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-1","Unit ID change from CTGZ1 to CTG-1",
"AZ","Desert Basin Generating Station","55129",,"Facility name change from Desert Basin - Reliant Energy on 07/15/2002",
"AZ","Desert Basin Generating Station","55129",,"Facility name change from Reliant Energy Desert Basin on 10/27/2003",
"TX","Wolf Hollow Generating Station","55139",,"Facility name change from AES Wolf Hollow on 01/18/2005",
"PA","North East Cogeneration Plant","54571",,"Facility name change from Nepa Energy Lp on 12/13/2001",
"MA","Tanner Street Generation, LLC","54586",,"Facility name change from UAE Lowell Power LLC on 01/15/2002",
"MA","Tanner Street Generation, LLC","54586",,"Facility name change from Lowell Power, LLC on 10/03/2006",
"MA","Tanner Street Generation, LLC","54586",,"Facility name change from LPG Associates, LLC on 10/03/2006",
"CA","Etiwanda Generating Station","331",,"Facility name change from Mountain Vista (Etiwanda) on 07/19/2002",
"CA","Mandalay Generating Station","345",,"Facility name change from Ocean Vista (Mandalay) on 07/19/2002",
"CA","Mountainview Generating Station","358",,"Facility name change from Mountainview (San Bernadino) on 07/15/2002",
"MI","New Covert Generating Project","55297",,"Facility name change from Covert Generating Project on 11/12/2004",
"GA","Washington County Power","55332",,"Facility name change from Tiger Creek Power Facility on 04/23/2002",
"AR","Dell Power Plant","55340",,"Facility name change from Genpower - Dell, Llc on 12/13/2001",
"AR","Dell Power Plant","55340",,"Facility name change from TPS - Dell, LLC on 02/11/2002",
"AR","Dell Power Plant","55340",,"Facility name change from TPS - Dell on 05/11/2006",
"NM","Luna Energy Facility","55343",,"Facility name change from Deming Energy Facility on 10/04/2005",
"NY","Syracuse, LLC","10621",,"Facility name change from CH Resources - Syracuse on 07/15/2002",
"NY","Syracuse, LLC","10621",,"Facility name change from WPS Empire State, Inc-Syracuse on 09/28/2006",
"LA","Plaquemine Cogen Facility","55419",,"Facility name change from Placquemine Cogen Facility on 11/15/2006",
"NY","Fortistar North Tonawanda Inc","54131",,"Facility name change from Oxbow Power Cogeneration Facility on 10/16/2002",
"FL","Reedy Creek Central Energy Plant","7254",,"Facility name change from Combined Cycle 1 on 02/11/2002",
"NY","Lehigh Northeast Cement Company","880052",,"Facility name change from Glens Falls Lehigh Cement Company on 02/27/2006",
"KY","Phoenix Paper Wickliffe LLC","880065",,"Facility name change from Westvaco Kentucky, LP on 02/06/2003",
"KY","Phoenix Paper Wickliffe LLC","880065",,"Facility name change from Meadwestvaco Kentucky, LP on 07/07/2005",
"VA","Spruance Genco, LLC","54081",,"Facility name change from Cogentrix of Richmond on 03/21/2006",
"CA","Creed Energy Center","55625",,"Facility name change from Panda West Power I on 07/19/2002",
"CA","Lambie Energy Center","55626",,"Facility name change from Panda West Power II on 07/19/2002",
"CA","Goose Haven Energy Center","55627",,"Facility name change from Panda West Power III on 07/19/2002",
"KS","Osawatomie Generating Station","7928",,"Facility name change from Paola Peaking Station on 07/08/2003",
